ENS_GENEID	geneSymbol
ENSRNOG00000005524	Pno1
ENSRNOG00000029052	AABR07016577.1
ENSRNOG00000024829	AABR07014804.1
ENSRNOG00000006185	Etaa1l1
ENSRNOG00000056872	SNORA17
ENSRNOG00000056871	AABR07015394.1
ENSRNOG00000028015	Pf4
ENSRNOG00000002258	Tmem150c
ENSRNOG00000002251	Sec31a
ENSRNOG00000002256	Art3
ENSRNOG00000002254	Tmem33
ENSRNOG00000022882	RGD1560987
ENSRNOG00000058688	AABR07015517.2
ENSRNOG00000060691	U6
ENSRNOG00000022419	Dok7
ENSRNOG00000019624	Morc2
ENSRNOG00000018859	Pik3ip1
ENSRNOG00000054151	Pus10
ENSRNOG00000055205	U2
ENSRNOG00000046600	AABR07015066.1
ENSRNOG00000023389	Ephx4
ENSRNOG00000004778	Cnga1
ENSRNOG00000043926	AC099384.1
ENSRNOG00000034289	Ndufb4l1
ENSRNOG00000054319	Smtn
ENSRNOG00000055596	Csn1s1
ENSRNOG00000052061	Ppef2
ENSRNOG00000056762	AABR07016058.1
ENSRNOG00000056767	Potea
ENSRNOG00000061602	AABR07016592.1
ENSRNOG00000054053	AABR07014123.1
ENSRNOG00000055902	SNORA57
ENSRNOG00000058991	A830031A19Rik
ENSRNOG00000059715	Cc2d2a
ENSRNOG00000032657	Vom1r26
ENSRNOG00000037632	LOC688553
ENSRNOG00000012367	Pcdh7
ENSRNOG00000014409	Myl7
ENSRNOG00000060076	Metazoa_SRP
ENSRNOG00000060073	U1
ENSRNOG00000004865	Pkd1l1
ENSRNOG00000002834	Klb
ENSRNOG00000003003	Tbc1d19
ENSRNOG00000002061	Ptpn13
ENSRNOG00000055280	AABR07015903.1
ENSRNOG00000054484	AABR07015812.2
ENSRNOG00000052776	AC136013.1
ENSRNOG00000046938	5S_rRNA
ENSRNOG00000046931	RGD1565660
ENSRNOG00000061910	Igfbp3
ENSRNOG00000051515	SNORD125
ENSRNOG00000034200	Atp8a1
ENSRNOG00000060138	AABR07015846.1
ENSRNOG00000009881	Fam161a
ENSRNOG00000003592	Med28
ENSRNOG00000003599	Utp3
ENSRNOG00000002643	Ugdh
ENSRNOG00000007033	Sorcs2
ENSRNOG00000057056	Rab5a
ENSRNOG00000051064	Rn60_14_0967.1
ENSRNOG00000046764	Tmprss11a
ENSRNOG00000056048	SNORA17
ENSRNOG00000027623	LOC680039
ENSRNOG00000009572	Hgfac
ENSRNOG00000056124	U6
ENSRNOG00000033910	Tmprss11b
ENSRNOG00000039989	AABR07014177.1
ENSRNOG00000006139	Stx18
ENSRNOG00000060346	RNaseP_nuc
ENSRNOG00000060340	Psme4
ENSRNOG00000022857	Wdr92
ENSRNOG00000008474	Acox3
ENSRNOG00000033640	LOC679766
ENSRNOG00000057975	AABR07014882.1
ENSRNOG00000048600	LOC100912233
ENSRNOG00000054945	AABR07015081.2
ENSRNOG00000051590	1700093K21Rik
ENSRNOG00000055875	SNORA18
ENSRNOG00000061779	Man2b2
ENSRNOG00000059624	AABR07015889.1
ENSRNOG00000056900	AABR07015525.1
ENSRNOG00000002146	Pkd2
ENSRNOG00000002144	Exoc1
ENSRNOG00000002142	Cds1
ENSRNOG00000002149	Nkx6-1
ENSRNOG00000037522	AABR07016640.1
ENSRNOG00000054677	Stath
ENSRNOG00000042340	LOC679894
ENSRNOG00000052631	AABR07014769.1
ENSRNOG00000057717	AABR07016721.1
ENSRNOG00000058778	AABR07015547.1
ENSRNOG00000051389	AABR07014424.1
ENSRNOG00000060277	AABR07014745.1
ENSRNOG00000005393	Sertad2
ENSRNOG00000005397	Maea
ENSRNOG00000009639	Zrsr1
ENSRNOG00000004440	Fignl1
ENSRNOG00000004444	Ikzf1
